"Events / Unique users","utm_campaign","utm_id","Average","1 Mar 2026","2 Mar 2026","3 Mar 2026","4 Mar 2026","5 Mar 2026","6 Mar 2026","7 Mar 2026","8 Mar 2026","9 Mar 2026","10 Mar 2026","11 Mar 2026","12 Mar 2026","13 Mar 2026","14 Mar 2026","15 Mar 2026","16 Mar 2026","17 Mar 2026","18 Mar 2026","19 Mar 2026","20 Mar 2026","21 Mar 2026","22 Mar 2026","23 Mar 2026","24 Mar 2026","25 Mar 2026","26 Mar 2026","27 Mar 2026","28 Mar 2026","29 Mar 2026","30 Mar 2026","31 Mar 2026","1 Apr 2026","2 Apr 2026","3 Apr 2026","4 Apr 2026","5 Apr 2026","6 Apr 2026","7 Apr 2026","8 Apr 2026","9 Apr 2026","10 Apr 2026","11 Apr 2026","12 Apr 2026","13 Apr 2026","14 Apr 2026","15 Apr 2026","16 Apr 2026","17 Apr 2026","18 Apr 2026","19 Apr 2026","20 Apr 2026","21 Apr 2026","22 Apr 2026","23 Apr 2026","24 Apr 2026","25 Apr 2026","26 Apr 2026","27 Apr 2026","28 Apr 2026","29 Apr 2026"
"page_view","Advantage+ shopping campaign_Videos_Bulk_30_Jan","120242513383750111","41.07","39","90","57","202","260","231","34","224","95","57","56","147","44","25","28","12","63","59","33","22","22","24","8","9","4","19","16","45","39","19","36","30","30","39","32","17","17","29","21","23","22","26","23","23","15","16","27","17","5","12","10","7","1","3","0","0","0","0","0","0"
"page_view","(EMPTY)","120241148873370111","0.72","2","0","2","0","0","0","0","0","1","0","1","1","1","2","3","3","4","2","0","0","0","2","2","0","2","1","0","2","2","0","0","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0"
"page_view","Advantage++shopping+campaign_Videos_Bulk_30_Jan","120242947146090111","1.1","0","3","0","4","0","0","12","0","11","7","7","11","0","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Advantage++shopping+campaign_Videos_Bulk_30_Jan","120241425411320111","192.92","314","352","377","425","816","864","121","575","506","499","157","512","661","495","505","317","256","260","209","154","143","75","93","81","86","105","140","145","139","103","171","123","127","133","93","64","51","73","116","122","109","91","63","85","94","91","85","63","49","100","135","50","0","0","2","0","0","0","0","0"
"page_view","(EMPTY)","23635976321","3.88","0","0","0","0","0","0","0","0","3","1","24","10","9","6","7","5","9","6","7","3","3","6","3","4","3","4","6","5","5","2","5","1","5","7","2","6","6","1","5","1","4","2","2","4","5","1","5","3","0","0","0","0","5","6","9","4","6","1","6","0"
"page_view","Repeat_1_order_180D","Post","0.33","0","1","0","1","0","0","1","0","0","1","0","0","0","1","4","2","0","0","0","0","1","0","0","2","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120227135506810111","10.58","0","21","37","19","33","31","83","4","36","51","12","43","47","51","72","60","16","1","2","0","0","1","0","1","1","0","1","1","1","2","2","0","2","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","steal_deals","0104_reactivation_OB_pouch_bestsellers","64.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1334","1657","450","138","46","54","18","49","14","8","21","13","9","2","7","3","13","5","4","3","0","2","5","1","1","3","1","0","0"
"page_view","TOF_Bulk_Lookalike Targeting","PN_Yellow Kurta","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","332400_69a5898043eca003e40846e6","admitad","0.02","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Advantage  shopping campaign_Videos_Bulk_30_Jan","120242947146120111","1.75","0","3","6","3","6","5","0","0","1","1","0","2","0","1","0","0","1","4","2","1","0","1","1","0","1","1","0","1","4","3","2","3","3","6","1","2","3","2","2","6","4","2","1","2","3","2","4","2","0","2","4","1","0","0","0","0","0","0","0","0"
"page_view","Social_IG","Story","0.48","0","1","2","2","0","1","1","0","2","0","1","0","0","0","1","0","0","0","2","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","4","0","0","0","0","0","2","0","0"
"page_view","PMAX_12sep_qscale","PN_Personalized","0.13","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Advantage  shopping campaign_Videos_Bulk_30_Jan","120244096029830111","0.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","3","2","0","1","0","0","1","0","0","1","2","1","3","2","3","0","0","2","0","1","1","1","1","1","1","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0"
"page_view","WA_Group_Sale","WA_OBGroup_Sale_19oct","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120238970309320111","102.43","257","199","267","93","130","189","6","271","190","178","63","162","220","281","261","204","194","131","77","65","40","63","59","31","41","26","50","42","73","69","163","248","212","99","73","51","57","75","100","174","147","75","56","57","46","53","76","69","21","49","93","76","14","1","8","68","3","31","3","16"
"page_view","Advantage++shopping+campaign_Videos_Bulk_30_Jan","120241425411330111","77.23","87","55","114","109","183","203","261","3","105","104","49","74","85","83","112","76","80","71","56","48","52","72","55","61","64","64","65","114","128","86","134","120","203","128","57","55","48","55","96","111","110","100","48","78","83","74","79","56","34","88","104","53","0","0","0","0","0","1","0","0"
"page_view","Advantage  shopping campaign_Videos_Bulk_30_Jan","120241149025090111","2.2","7","11","3","3","6","6","19","15","5","1","0","2","5","2","0","5","2","1","0","3","0","0","0","0","1","1","2","1","0","1","0","1","4","5","1","0","0","3","1","1","0","3","0","0","3","4","0","2","0","0","1","1","0","0","0","0","0","0","0","0"
"page_view","Advantage++shopping+campaign_Videos_Bulk_30_Jan","120241924794430111","10","2","5","0","1","0","0","36","0","9","8","1","12","0","8","1","7","7","7","11","13","1","8","10","3","6","10","20","17","10","18","28","42","27","28","9","7","23","35","18","15","30","9","21","12","17","13","14","1","4","3","12","1","0","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Jan","120229162148030111","2.1","52","44","5","3","1","0","0","0","2","1","1","1","0","1","0","1","1","0","0","1","0","0","1","0","1","1","1","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120215547984040111","1.08","0","1","0","1","1","1","3","2","3","0","1","1","0","0","0","0","3","2","2","0","2","0","0","1","1","3","1","1","1","1","0","1","5","4","1","2","2","1","0","0","2","2","0","0","1","0","1","1","2","1","0","2","0","0","1","2","0","0","2","0"
"page_view","Advantage  shopping campaign_Videos_Bulk_30_Jan","120218790582370111","0.25","0","2","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
